Ticker,Month,Monthly_Return
TATAMOTORS,July,15.428371837732662
TATAMOTORS,June,4.1348834762480875
TATAMOTORS,March,1.5756087579291977
TATAMOTORS,May,-10.196536291107215
TATAMOTORS,November,26.015612553767713
TATAMOTORS,October,34.42662583608669
TATAMOTORS,September,-10.799432572186895
TATASTEEL,April,1.1339258351210506
TATASTEEL,August,-6.31669324175151
TATASTEEL,December,7.38461538461538
TATASTEEL,February,4.488130563798206
TATASTEEL,January,-2.78870218090812
TATASTEEL,July,-5.020968575860276
TATASTEEL,June,-0.13773314203730797
TATASTEEL,March,3.934644881627213
TATASTEEL,May,-0.08963250672244141
TATASTEEL,November,22.45283018867925
TATASTEEL,October,16.0625
TATASTEEL,September,10.249869178440619
TCS,April,-2.4535648177698324
TCS,August,3.5625753337426853
TCS,December,8.023293893184116
TCS,February,6.251702710065768
TCS,January,0.1272598462386164
TCS,July,10.234528178573237
TCS,June,5.436353079384803
TCS,March,-5.325631663145548
TCS,May,-4.9789040457639935
TCS,November,27.44058967468813
TCS,October,12.937376382031104
TCS,September,-5.586091726479473
TECHM,April,1.5226387047527257
TECHM,August,5.960050503415452
TECHM,December,4.268567449100827
TECHM,February,-2.944761904761912
TECHM,January,2.813861157152218
TECHM,July,5.590652808912451
TECHM,June,14.855261573051754
TECHM,March,-1.86350055040101
TECHM,May,-3.0349672428763155
TECHM,November,55.31508310372413
TECHM,October,32.26854135832922
TECHM,September,-4.2176540248383105
TITAN,April,-3.9896747271560047
TITAN,August,2.7909524701947666
TITAN,December,5.328843673878774
TITAN,February,-0.08408110380569621
TITAN,January,0.5547774771222304
TITAN,July,0.8014104824491105
TITAN,June,4.384888997914879
TITAN,March,0.9532913778910775
TITAN,May,-9.151031960655178
TITAN,November,4.26356589147286
TITAN,October,2.2150958154086875
TITAN,September,6.589455199230662
TRENT,April,13.458371925491392
TRENT,August,24.051258057808273
TRENT,December,8.806140257149982
TRENT,February,25.10635554982596
TRENT,January,2.826354884913891
TRENT,July,5.862409688794619
TRENT,June,17.5378576637639
TRENT,March,1.1983338673502082
TRENT,May,-1.8841328254460192
TRENT,November,202.72336359292876
TRENT,October,246.18765480064107
TRENT,September,5.965837553509972
ULTRACEMCO,April,0.17529936510488556
ULTRACEMCO,August,-5.695690266594354
ULTRACEMCO,December,16.262722980788915
ULTRACEMCO,February,-0.3013414228555843
ULTRACEMCO,January,-2.8354357798165206
ULTRACEMCO,July,-0.14658137786494277
ULTRACEMCO,June,11.440728554304902
ULTRACEMCO,March,-3.811849440086827
ULTRACEMCO,May,-0.6806264367528332
ULTRACEMCO,November,35.719952991427476
ULTRACEMCO,October,33.24242314778022
ULTRACEMCO,September,3.3006853451671385
WIPRO,April,-4.649963913805549
WIPRO,August,3.230754481833002
WIPRO,December,15.61388445970809
WIPRO,February,10.024398005728226
WIPRO,January,0.2095777009326208
WIPRO,July,-1.0145064947378444
WIPRO,June,15.931096599864894
WIPRO,March,-7.513003274898863
WIPRO,May,-4.197638828159158
WIPRO,November,50.059062869142934
WIPRO,October,36.09569614009125
WIPRO,September,1.690299558644004
